PostID,Time,TweetUrl,Content,UserID,UserName,RetweetNum,LikeNum,ReplyNum,UserHandle,UserUrl,Location,UserID_PostID,CurrentPage
1431096633832267776,Fri Aug 27 03:30:00 +0000 2021,https://twitter.com/AFNCThailand/status/1431096633832267776,"ธปท. ปรับเกณฑ์สินเชื่อส่วนบุคคล และขยายเวลาชำระหนี้จาก 6 เดือน เป็น 12 เดือน จริงหรือ?

อ่านเพิ่มเติมที่ https://t.co/aMBSVlNU63

#ข่าวจริง #ศูนย์ต่อต้านข่าวปลอม #AntiFakeNewsCenter #AFNCThailand #บัตรเครดิต #สินเชื่อ #ชำระหนี้ #ผ่อนชําระ #ธนาคาร #หนี้สิน https://t.co/G16hQbApXw",1188724507432718336,ศูนย์ต่อต้านข่าวปลอม ประเทศไทย,86,64,0,AFNCThailand,https://twitter.com/AFNCThailand,,"AFNCThailand,1431096633832267776",1
1430711818402496518,Thu Aug 26 02:00:53 +0000 2021,https://twitter.com/AFNCThailand/status/1430711818402496518,"4 สัญญาณเตือน มือถือเสี่ยงถูก Hack

อ่านเพิ่มเติมที่ https://t.co/MecqwBtvme

#ศูนย์ต่อต้านข่าวปลอม #AntiFakeNewsCenter #AFNCThailand #มิจฉาชีพ #แฮ็ก #โทรศัพท์ #มือถือ https://t.co/yMUxy42nXH",1188724507432718336,ศูนย์ต่อต้านข่าวปลอม ประเทศไทย,221,192,1,AFNCThailand,https://twitter.com/AFNCThailand,,"AFNCThailand,1430711818402496518",1
1431148944315207682,Fri Aug 27 06:57:52 +0000 2021,https://twitter.com/AFNCThailand/status/1431148944315207682,"รายงานสถานการณ์โรคติดเชื้อไวรัสโคโรนา 2019 (COVID-19) ในประเทศไทย ตั้งแต่เดือนมีนาคม 2563 ถึงวันที่ 27 สิงหาคม 2564

#ศูนย์ต่อต้านข่าวปลอม #AntiFakeNewsCenter #AFNCThailand #โควิด19 #COVID19 https://t.co/sOzRhT6EoQ",1188724507432718336,ศูนย์ต่อต้านข่าวปลอม ประเทศไทย,71,55,0,AFNCThailand,https://twitter.com/AFNCThailand,,"AFNCThailand,1431148944315207682",1
1431512264733986818,Sat Aug 28 07:01:34 +0000 2021,https://twitter.com/AFNCThailand/status/1431512264733986818,"ศบค. อนุมัติคลายล็อกบางกิจกรรมในพื้นที่สีแดงเข้ม 29 จังหวัด เริ่ม 1 ก.ย. 64 จริงหรือ?

อ่านเพิ่มเติมได้ที่ https://t.co/OmxHJQfWB5

#ข่าวจริง #ศูนย์ต่อต้านข่าวปลอม #AntiFakeNewsCenter #AFNCThailand #คลายล็อกดาวน์ #มาตรการ #เปิดร้าน #จังหวัดเสี่ยงสูง #พื้นที่ควบคุมสูงสุด https://t.co/s7PVR7lFGH",1188724507432718336,ศูนย์ต่อต้านข่าวปลอม ประเทศไทย,0,4,0,AFNCThailand,https://twitter.com/AFNCThailand,,"AFNCThailand,1431512264733986818",1
1431437185723482112,Sat Aug 28 02:03:14 +0000 2021,https://twitter.com/AFNCThailand/status/1431437185723482112,"เตือนภัย! SMS หลอกลวงให้กรอกข้อมูลส่วนตัว เช็กให้ดีก่อนตกเป็นเหยื่อ

อ่านเพิ่มเติมที่ https://t.co/oOh9TNQTyo

#ศูนย์ต่อต้านข่าวปลอม #AntiFakeNewsCenter #AFNCThailand #SMS #ข้อความ #หลอกลวง #โครงการรัฐ #ธนาคาร #เตือนภัย https://t.co/dbTIRYlaFe",1188724507432718336,ศูนย์ต่อต้านข่าวปลอม ประเทศไทย,19,19,1,AFNCThailand,https://twitter.com/AFNCThailand,,"AFNCThailand,1431437185723482112",1
1431534805523566592,Sat Aug 28 08:31:08 +0000 2021,https://twitter.com/AFNCThailand/status/1431534805523566592,"ข่าวปลอม อย่าแชร์! ❌ หากผู้อื่นรู้เบอร์มือถือที่ผูกพร้อมเพย์ ทำให้รู้ยอดเงินในธนาคารได้

อ่านเพิ่มเติมได้ที่ https://t.co/IEXyfW6hNW

#ข่าวปลอม #ศูนย์ต่อต้านข่าวปลอม #AntiFakeNewsCenter #AFNCThailand #พร้อมเพย์ #ยอดเงิน #เบอร์มือถือ #ธนาคาร #การเงิน https://t.co/BEI8lr9Q7o",1188724507432718336,ศูนย์ต่อต้านข่าวปลอม ประเทศไทย,6,9,0,AFNCThailand,https://twitter.com/AFNCThailand,,"AFNCThailand,1431534805523566592",1
1431501433036173312,Sat Aug 28 06:18:32 +0000 2021,https://twitter.com/AFNCThailand/status/1431501433036173312,"รายงานสถานการณ์โรคติดเชื้อไวรัสโคโรนา 2019 (COVID-19) ในประเทศไทย ตั้งแต่เดือนมีนาคม 2563 ถึงวันที่ 28 สิงหาคม 2564

#ศูนย์ต่อต้านข่าวปลอม #AntiFakeNewsCenter #AFNCThailand #โควิด19 #COVID19 https://t.co/gFdNDZVWqJ",1188724507432718336,ศูนย์ต่อต้านข่าวปลอม ประเทศไทย,0,4,0,AFNCThailand,https://twitter.com/AFNCThailand,,"AFNCThailand,1431501433036173312",1
1430439806358589442,Wed Aug 25 08:00:00 +0000 2021,https://twitter.com/AFNCThailand/status/1430439806358589442,"ข่าวบิดเบือน ธ.กรุงไทย เปิดสินเชื่อ Million Loan กู้ยืมสูงสุด 500,000 บาท อนุมัติใน 5 นาที ผ่อนวันละ 10 บาท

อ่านเพิ่มเติมที่ https://t.co/bwGfemI1VS

#ข่าวบิดเบือน #ศูนย์ต่อต้านข่าวปลอม #AntiFakeNewsCenter #AFNCThailand #กรุงไทย #กู้เงิน #สินเชื่อ #ถุงเงิน #ร้านค้า https://t.co/WJkDtGkpDr",1188724507432718336,ศูนย์ต่อต้านข่าวปลอม ประเทศไทย,22,22,0,AFNCThailand,https://twitter.com/AFNCThailand,,"AFNCThailand,1430439806358589442",1
1431151373190512640,Fri Aug 27 07:07:31 +0000 2021,https://twitter.com/AFNCThailand/status/1431151373190512640,"ข่าวปลอม อย่าแชร์! ❌ ผลิตภัณฑ์ ลองแกน ออรัล สเปรย์ สามารถดักจับไวรัสได้ทุกชนิด

อ่านเพิ่มเติมที่ https://t.co/u0wZEzTlQ4

#ข่าวปลอม #ศูนย์ต่อต้านข่าวปลอม #AntiFakeNewsCenter #AFNCThailand #ลองแกนสเปรย์ #สเปรย์พ่นปาก #ไวรัส #ช่องปาก #กลิ่นปาก https://t.co/O5khhxuQrP",1188724507432718336,ศูนย์ต่อต้านข่าวปลอม ประเทศไทย,3,1,0,AFNCThailand,https://twitter.com/AFNCThailand,,"AFNCThailand,1431151373190512640",1
1431172171737419777,Fri Aug 27 08:30:10 +0000 2021,https://twitter.com/AFNCThailand/status/1431172171737419777,"ข่าวบิดเบือน ต่อใบขับขี่ ไม่ต้องอบรมที่ขนส่งฯ เข้าเว็บไซต์อบรมออนไลน์ ใส่เลขบัตรประชาชนใครก็ได้

อ่านเพิ่มเติมที่ https://t.co/vs3MTS3mQq

#ข่าวบิดเบือน #ศูนย์ต่อต้านข่าวปลอม #AntiFakeNewsCenter #AFNCThailand #ขนส่ง #ใบขับขี่ #อบรมออนไลน์ #ลงทะเบียน https://t.co/9mk4ycMqY5",1188724507432718336,ศูนย์ต่อต้านข่าวปลอม ประเทศไทย,16,15,0,AFNCThailand,https://twitter.com/AFNCThailand,,"AFNCThailand,1431172171737419777",1
